label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
 rebar,455,807,258,273,IMG_4930.jpg,4032,3024
 rebar,750,1084,220,208,IMG_4930.jpg,4032,3024
 rebar,534,1372,243,231,IMG_4930.jpg,4032,3024
 rebar,633,1701,269,254,IMG_4930.jpg,4032,3024
 rebar,928,1319,250,212,IMG_4930.jpg,4032,3024
 rebar,1004,1000,224,208,IMG_4930.jpg,4032,3024
 rebar,1216,1144,205,231,IMG_4930.jpg,4032,3024
 rebar,1451,1027,216,235,IMG_4930.jpg,4032,3024
 rebar,1429,1292,227,208,IMG_4930.jpg,4032,3024
 rebar,1016,1664,208,220,IMG_4930.jpg,4032,3024
 rebar,1224,1417,224,201,IMG_4930.jpg,4032,3024
 rebar,1432,1535,243,197,IMG_4930.jpg,4032,3024
 rebar,1175,1891,277,235,IMG_4930.jpg,4032,3024
 rebar,758,1993,250,246,IMG_4930.jpg,4032,3024
 rebar,993,2187,243,254,IMG_4930.jpg,4032,3024
 rebar,1258,2289,269,246,IMG_4930.jpg,4032,3024
 rebar,1542,2365,299,261,IMG_4930.jpg,4032,3024
 rebar,1478,1936,284,250,IMG_4930.jpg,4032,3024
 rebar,1766,1853,254,261,IMG_4930.jpg,4032,3024
 rebar,1929,2243,231,239,IMG_4930.jpg,4032,3024
 rebar,2168,2240,235,212,IMG_4930.jpg,4032,3024
 rebar,2293,2043,307,261,IMG_4930.jpg,4032,3024
 rebar,2046,1883,280,254,IMG_4930.jpg,4032,3024
 rebar,1285,743,171,224,IMG_4930.jpg,4032,3024
 rebar,1459,663,208,258,IMG_4930.jpg,4032,3024
 rebar,1671,603,277,235,IMG_4930.jpg,4032,3024
 rebar,1997,644,246,231,IMG_4930.jpg,4032,3024
 rebar,1902,360,243,246,IMG_4930.jpg,4032,3024
 rebar,2217,303,269,227,IMG_4930.jpg,4032,3024
 rebar,2603,307,246,265,IMG_4930.jpg,4032,3024
 rebar,2979,371,269,288,IMG_4930.jpg,4032,3024
 rebar,3119,599,261,239,IMG_4930.jpg,4032,3024
 rebar,3145,841,250,258,IMG_4930.jpg,4032,3024
 rebar,2346,610,273,269,IMG_4930.jpg,4032,3024
 rebar,2520,868,258,250,IMG_4930.jpg,4032,3024
 rebar,2763,682,265,250,IMG_4930.jpg,4032,3024
 rebar,2793,981,227,246,IMG_4930.jpg,4032,3024
 rebar,3456,909,311,277,IMG_4930.jpg,4032,3024
 rebar,3350,1451,224,250,IMG_4930.jpg,4032,3024
 rebar,3316,1160,159,239,IMG_4930.jpg,4032,3024
 rebar,3092,1232,269,273,IMG_4930.jpg,4032,3024
 rebar,2603,1186,243,216,IMG_4930.jpg,4032,3024
 rebar,2349,1103,239,273,IMG_4930.jpg,4032,3024
 rebar,2050,978,265,246,IMG_4930.jpg,4032,3024
 rebar,1804,887,231,227,IMG_4930.jpg,4032,3024
 rebar,1633,1224,265,220,IMG_4930.jpg,4032,3024
 rebar,1948,1266,265,258,IMG_4930.jpg,4032,3024
 rebar,2115,1527,284,265,IMG_4930.jpg,4032,3024
 rebar,2425,1417,235,227,IMG_4930.jpg,4032,3024
 rebar,2725,1584,284,246,IMG_4930.jpg,4032,3024
 rebar,3191,1588,265,243,IMG_4930.jpg,4032,3024
 rebar,3437,1838,288,299,IMG_4930.jpg,4032,3024
 rebar,3304,2039,205,220,IMG_4930.jpg,4032,3024
 rebar,3130,1955,261,273,IMG_4930.jpg,4032,3024
 rebar,2524,1834,250,261,IMG_4930.jpg,4032,3024
 rebar,2759,1921,258,250,IMG_4930.jpg,4032,3024
 rebar,2581,2175,265,269,IMG_4930.jpg,4032,3024
 rebar,2872,2240,254,212,IMG_4930.jpg,4032,3024
 rebar,3047,2471,277,235,IMG_4930.jpg,4032,3024
 rebar,2728,2543,288,246,IMG_4930.jpg,4032,3024
 rebar,2403,2406,220,254,IMG_4930.jpg,4032,3024
