label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
rebar,650,194,31,32,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,686,195,32,32,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,737,199,32,32,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,760,226,31,27,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,794,241,36,26,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,830,260,28,29,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,850,293,31,27,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,815,296,26,27,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,768,287,29,29,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,741,257,28,30,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,711,234,27,32,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,663,235,29,33,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,671,271,30,32,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,707,275,32,29,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,736,306,31,30,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,715,334,31,28,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,689,308,33,26,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,619,222,30,32,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,630,260,29,31,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,626,301,34,30,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,657,329,31,27,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,648,364,29,31,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,683,358,29,25,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,716,376,33,29,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,775,320,26,31,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,579,219,34,32,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,559,257,25,29,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,590,269,33,34,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,594,316,32,31,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,610,354,27,30,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,558,298,33,30,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,524,275,29,30,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,512,312,29,28,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,542,335,31,30,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,571,366,33,32,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,604,388,32,28,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,643,400,28,29,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,494,349,31,32,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,535,371,31,35,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,562,398,32,30,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,523,411,35,28,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,490,396,30,37,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,511,448,33,36,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,545,436,34,31,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,582,428,33,34,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,616,421,29,26,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,667,420,31,30,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,680,388,34,29,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,719,410,33,32,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,513,490,29,28,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,545,473,30,28,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,591,463,32,32,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
rebar,563,494,31,31,WhatsApp Image 2025-07-29 at 10.06.34.jpeg,1280,960
