label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
rebar,570,193,29,31,WhatsApp Image 2025-07-29 at 10.06.35 (1).jpeg,1280,960
rebar,674,180,31,30,WhatsApp Image 2025-07-29 at 10.06.35 (1).jpeg,1280,960
rebar,709,197,31,32,WhatsApp Image 2025-07-29 at 10.06.35 (1).jpeg,1280,960
rebar,764,198,31,27,WhatsApp Image 2025-07-29 at 10.06.35 (1).jpeg,1280,960
rebar,494,201,31,31,WhatsApp Image 2025-07-29 at 10.06.35 (1).jpeg,1280,960
rebar,546,242,31,32,WhatsApp Image 2025-07-29 at 10.06.35 (1).jpeg,1280,960
rebar,603,243,30,34,WhatsApp Image 2025-07-29 at 10.06.35 (1).jpeg,1280,960
rebar,638,231,30,35,WhatsApp Image 2025-07-29 at 10.06.35 (1).jpeg,1280,960
rebar,687,234,25,24,WhatsApp Image 2025-07-29 at 10.06.35 (1).jpeg,1280,960
rebar,719,237,34,36,WhatsApp Image 2025-07-29 at 10.06.35 (1).jpeg,1280,960
rebar,759,242,31,31,WhatsApp Image 2025-07-29 at 10.06.35 (1).jpeg,1280,960
rebar,507,266,25,28,WhatsApp Image 2025-07-29 at 10.06.35 (1).jpeg,1280,960
rebar,465,244,32,31,WhatsApp Image 2025-07-29 at 10.06.35 (1).jpeg,1280,960
rebar,537,280,31,33,WhatsApp Image 2025-07-29 at 10.06.35 (1).jpeg,1280,960
rebar,640,285,29,24,WhatsApp Image 2025-07-29 at 10.06.35 (1).jpeg,1280,960
rebar,679,267,28,26,WhatsApp Image 2025-07-29 at 10.06.35 (1).jpeg,1280,960
rebar,589,303,29,28,WhatsApp Image 2025-07-29 at 10.06.35 (1).jpeg,1280,960
rebar,714,285,27,29,WhatsApp Image 2025-07-29 at 10.06.35 (1).jpeg,1280,960
rebar,753,283,28,23,WhatsApp Image 2025-07-29 at 10.06.35 (1).jpeg,1280,960
rebar,460,281,29,26,WhatsApp Image 2025-07-29 at 10.06.35 (1).jpeg,1280,960
rebar,495,305,26,24,WhatsApp Image 2025-07-29 at 10.06.35 (1).jpeg,1280,960
rebar,528,318,24,28,WhatsApp Image 2025-07-29 at 10.06.35 (1).jpeg,1280,960
rebar,585,345,30,23,WhatsApp Image 2025-07-29 at 10.06.35 (1).jpeg,1280,960
rebar,630,329,33,29,WhatsApp Image 2025-07-29 at 10.06.35 (1).jpeg,1280,960
